SET_NAME,YEAR,THEME,UNIQUE_PARTS,TOTAL_PARTS,UNIQUENESS
Assault Tiger,2008,Exo-Force,3,87,0.034483
DK Star Wars Brickmaster: Battle For The Stolen Crystals,2013,Books,0,182,0.000000
Advent Calendar 2006 City (Day  7) Doctor with bag,2006,City,0,5,0.000000
"Hub, Tire and Wheel Suspension",1991,Service Packs,0,3,0.000000
Car Project Set,2002,Service Packs,0,26,0.000000
Disco Dance Floor,2015,Friends,0,24,0.000000
Large Make and Create Bucket with Special LEGO Bonus Bricks (Bucket and its contents only),2005,Basic Set,0,89,0.000000
Battle Towers,2014,Fusion,1,45,0.022222
Rapid River Village,2002,Indians,0,137,0.000000
Monorail 9V Motor,1988,Service Packs,0,1,0.000000
Axonn,2006,Titans,0,54,0.000000
TIE Fighter & Y-wing (re-release of 7150),2002,Star Wars Episode 4/5/6,0,132,0.000000
Geoffrey,2013,Creator,0,32,0.000000
The Hulk,2012,Constraction,1,19,0.052632
Whirling Time Warper,1997,Time Cruisers,0,97,0.000000
TECHNIC Control II,1986,Technic,2,76,0.026316
Car Transport Wagon with Car,1994,9V,0,70,0.000000
Mini Rex,2001,Studios,0,4,0.000000
Adventurer - Johnny Thunder,1998,Desert,0,14,0.000000
Lightning Dragon Battle,2011,Ninjago,3,216,0.013889
Interior Designer,2004,Playhouse,0,47,0.000000
Catapult,1984,Black Falcons,0,32,0.000000
Universal Building Set,1977,Basic Set,0,661,0.000000
Twin Rotor Cargo,2002,Airport,4,23,0.173913
2 x 4 Roof Tile Sand Red,2001,Bulk Bricks,0,1,0.000000
Advent Calendar 2011 City (Day 19) Safe with Gold Bars,2011,City,0,8,0.000000
Advent Calendar 2008 City (Day 19) Train Worker,2008,City,0,4,0.000000
Vision Command [RCX Digital Colour Camera],2000,RCX,2,41,0.048780
TIE Fighter - Mini,2008,Star Wars Episode 4/5/6,0,18,0.000000
Batman vs. Mr. Freeze,2017,Juniors,3,46,0.065217
Loading Grabs,1996,Technic,0,3,0.000000
Individual 1 x 2 x 3 Window (without glass),1950,Supplemental,0,5,0.000000
Army Jeep,2010,Toy Story,0,22,0.000000
Repair Lift,2014,Construction,0,28,0.000000
Sandcrawler,2014,Star Wars Episode 4/5/6,7,343,0.020408
Toa Vakama - 2004 San Diego Comic-Con Exclusive (Does Not Contain Exclusive Disk),2004,Toa Metru,0,25,0.000000
Plugholders and Leads,1992,Technic,0,9,0.000000
1 x 6 Brown Bricks,2002,Bulk Bricks,0,1,0.000000
Wake Rider (Wave Catcher),2002,Island Xtreme Stunts,3,57,0.052632
Snow Queen,2005,Fairy-Tale,2,38,0.052632
Small Satellite,2011,City,0,21,0.000000
FIRST LEGO League Challenge 2008 - Climate Connections,2008,FIRST LEGO League,2,230,0.008696
Gear Crane Set,1974,Gears,0,35,0.000000
Hiker,2016,Series 16 Minifigures,6,8,0.750000
Ferry,1973,Boat,0,30,0.000000
Auto Pod,2006,Creator,0,30,0.000000
King's Carriage,1995,Royal Knights,0,75,0.000000
Roller Derby Girl - Complete Set,2013,Series 9 Minifigures,4,6,0.666667
Pelican Sculpture (Legoland California),2000,Legoland Parks,0,42,0.000000
Open-Top Jeep,1997,Traffic,0,19,0.000000
Logging Truck,2014,City,1,106,0.009434
Orange,2007,Creator,0,6,0.000000
Frog Rush,2011,Game,1,34,0.029412
Aira's Creative Workshop,2015,Elves,3,79,0.037975
4WD Police Patrol,2000,Police,0,20,0.000000
Resistance Trooper Battle Pack,2016,Star Wars Episode 7,2,61,0.032787
EV3 Medium Servo Motor,2013,EV3,0,1,0.000000
Dune Buggy,1991,Off-Road,0,14,0.000000
Storage Folder for Building Instructions (16 Internal Pockets),1980,Service Packs,1,1,1.000000
Garage,1955,Town Plan,1,11,0.090909
Robot,1987,Robot,0,76,0.000000
Battle Arachnoid,2008,Exo-Force,0,61,0.000000
FIRST LEGO League Challenge 2012 - Senior Solutions,2012,FIRST LEGO League,0,227,0.000000
Farm Vehicle and Animals,1976,Building Set with People,0,42,0.000000
Bogie Plates,1986,Train,0,1,0.000000
Pirate Accessories,1993,Pirates,0,24,0.000000
Terrestrial Rover,1987,Classic Space,1,50,0.020000
Ogel Drone Octopus,2002,Mission Deep Sea,0,15,0.000000
Tahu,2010,Stars,3,13,0.230769
Shell Service Station,1966,Building,3,25,0.120000
Buggy,2010,Off-Road,0,86,0.000000
Fire vs. Ice,2014,Speedorz,2,55,0.036364
Scorpion Orb Launcher,2004,Mission Deep Freeze,0,83,0.000000
Advent Calendar 2004 Clikits (Day  5) Picture Frame,2004,Clikits,1,6,0.166667
Track Racer,2003,Drome Racers,2,16,0.125000
"Slopes and Slopes Double 2 x 2, Blue (The Building Toy)",1966,Supplemental,0,2,0.000000
Coca-Cola Defender 3,2002,Soccer,0,4,0.000000
Nitro Terminator,2004,Power Racers,2,38,0.052632
Pizza Van,2017,Traffic,2,133,0.015038
Max Goes Flying,2001,Basic Set,0,82,0.000000
1 x 12 Beams,2002,Technic,0,1,0.000000
"Windscreens, Seats, Steering Wheel",1993,Service Packs,0,9,0.000000
The Shadowed One (LEGO Club Members Exclusive),2005,Titans,0,74,0.000000
Boat with Armour,1996,Royal Knights,0,15,0.000000
5 Turntables,1969,Supplemental,0,1,0.000000
Lightor,2001,Xalax,2,6,0.333333
Power Functions Light,2009,Power Functions,0,1,0.000000
Battle Mech - Complete Set,2013,Series 9 Minifigures,5,6,0.833333
Shoot 'N Save (FC Bayern Promo Edition),2003,Soccer,0,66,0.000000
Advent Calendar 2011 City (Day 18) Robber with Crowbar,2011,City,0,7,0.000000
Transparent Bricks,1988,Service Packs,0,11,0.000000
Battery Box,1984,Service Packs,0,1,0.000000
Red Four Wheel Driver,2000,Race,0,36,0.000000
Elvendale School of Dragons,2016,Elves,2,136,0.014706
Caveman - Complete Set,2010,Series 1 Minifigures,4,6,0.666667
Off-Road 4x4,1986,Model Team,1,116,0.008621
Highway Cruiser,2014,Creator,0,67,0.000000
Passenger Plane - ANA version,2006,Airport,0,116,0.000000
Lighting Bricks,1978,Supplemental,1,11,0.090909
Helicopter and Ambulance,1976,Hospital,0,52,0.000000
Advent Calendar 2006 City (Day 18) Speed Radar Gun,2006,City,0,8,0.000000
Anakin's Jedi Starfighter Clone Wars White Box,2008,Star Wars Clone Wars,0,77,0.000000
Build and Play Box,2012,Duplo,0,55,0.000000
Mickey's Car Garage,2000,Disney's Mickey Mouse,2,50,0.040000
Clash of the Heroes,2016,Super Heroes,7,69,0.101449
Bucko,2016,Ninjago,0,9,0.000000
Melon - Hong Kong Lego Show Promotional,2007,Food & Drink,0,6,0.000000
Deep Sea Submarine,2015,Divers,0,149,0.000000
Astro Dart,1990,Futuron,0,23,0.000000
Rokit,2015,Series 4,0,37,0.000000
Smoothie Stand,2015,Friends,0,38,0.000000
Advent Calendar 2004 Clikits (Day  3) Hair Band,2004,Clikits,0,5,0.000000
"MBA Level Two - Kit 4, Flight Designer",2011,Master Building Academy,0,62,0.000000
Wonder Woman Dorm,2017,Super Heroes,8,110,0.072727
Orca™,2017,Batman,4,5,0.800000
Roadwork Crew,2017,Technic,0,98,0.000000
Jungle Falls Rescue,2014,Jungle Rescue,0,108,0.000000
Deluxe Motorized Train Set,1968,4.5V,1,54,0.018519
Tahnok Va,2002,Bohrok Va,0,19,0.000000
Advent Calendar 2007 City (Day 16) Train Worker and Briefcase,2007,City,0,5,0.000000
Sir Fangar’s Ice Fortress,2014,Legends of Chima,2,272,0.007353
Advent Calendar 1998 Classic Basic (Day 24) Airplane,1998,Classic Basic,0,10,0.000000
Marceline the Vampire Queen,2016,Dimensions,4,29,0.137931
2 x 2 Red Smooth Tiles,2000,Bulk Bricks,0,1,0.000000
12V Rail Contact Wire with Transformer Connector,1969,12V,0,1,0.000000
12V Motor (old),1993,Service Packs,0,1,0.000000
Spider-Man: Spider-Cycle Chase,2013,Spider-Man,3,109,0.027523
Baby Dimetrodon,2001,Dinosaurs,0,14,0.000000
Flower Fairy Party [Blue Box],2003,Fairy-Tale,0,81,0.000000
Jailbreak Joe,1995,Police,0,96,0.000000
Doll House,2004,Playhouse,10,122,0.081967
Exclusive Weapon Training Set - Limited Edition,2011,Ninjago,1,20,0.050000
"Advent Calendar 2013, City (Day  5)",2013,City,0,8,0.000000
Lizaru,2012,Ninjago,8,20,0.400000
Racer,1999,Znap,0,12,0.000000
Fire Patrol Suitcase,2017,Juniors,0,69,0.000000
"Advent Calendar 2013, Star Wars (Day 14) - Geonosian Starfighter",2013,Star Wars,0,11,0.000000
Niksput,2015,Series 4,0,36,0.000000
Rebel U-Wing Fighter,2016,Star Wars Rogue One,11,215,0.051163
Tires (42 mm) and Hubs,1981,Technic,0,2,0.000000
Mobile TV Studio,1989,Traffic,1,51,0.019608
City Public Transport,2010,Traffic,0,260,0.000000
Attack of the Wargs,2012,An Unexpected Journey,11,147,0.074830
Hikaru Little Flyer,2007,Exo-Force,0,16,0.000000
Circus Rabbit Polybag,2013,Duplo,0,3,0.000000
ARC-170 Starfighter,2010,Star Wars Clone Wars,5,130,0.038462
Frost,2000,RoboRiders,0,25,0.000000
"Lego Motion 4A, Wind Whirler",1989,Basic Model,0,11,0.000000
McDonald's Sports Set Number 4 - White Hockey Player #5,2004,Hockey,1,3,0.333333
Flat Tiles,1994,Service Packs,0,4,0.000000
Locomotive Wheels,1987,Train,0,2,0.000000
Onepu [McDonald's Promo Set #2],2001,Tohunga,1,7,0.142857
Refuse Truck,1990,Duplo,0,1,0.000000
XT-5 and Droid,1988,Classic Space,0,26,0.000000
Flying Duck,1997,Basic Model,0,15,0.000000
Genie Girl,2014,Series 12 Minifigures,4,6,0.666667
Disney • Pixar Cars™ Classic Race,2015,Cars,0,21,0.000000
Sykor's Ice Cruiser,2014,Legends of Chima,0,15,0.000000
Command Centre (Center),1979,Classic Space,0,67,0.000000
Complete Living Room Set,1971,Homemaker,0,34,0.000000
Desert of Destruction,2010,World Racers,3,354,0.008475
Harley Quinn to the rescue,2016,Super Heroes,10,133,0.075188
UFO Attack,2010,Game,1,37,0.027027
B-wing Starfighter & Planet Endor,2013,Star Wars Episode 4/5/6,3,57,0.052632
Quick Fix Station,2003,Gas Station,5,59,0.084746
Lehvak Va,2002,Bohrok Va,0,19,0.000000
3m Wiring and Two-Way Plug,1987,Service Packs,1,3,0.333333
Dol Guldur Battle,2013,The Desolation of Smaug,7,208,0.033654
LEGO® DIMENSIONS™ Scooby-Doo™ Team Pack,2015,Dimensions,3,50,0.060000
Captain Redbeard's Pirate Ship,2004,Pirates,9,76,0.118421
Advent Calendar 1998 Classic Basic (Day 10)  Steamboat,1998,Classic Basic,0,7,0.000000
Advent Calendar 2007 City (Day 15) Cash Register and Display,2007,City,0,9,0.000000
United States Capitol Building,2016,Architecture,1,114,0.008772
Axle Assortment,1984,Technic,0,13,0.000000
Nitroblast,2011,Villains,1,37,0.027027
Johnny Thunder and Baby T,2000,Dino Island,0,19,0.000000
Sitting Santa (Legoland California),2005,Holiday,0,21,0.000000
Danone Promotional Set: Cow,1998,Basic Model,0,8,0.000000
Whenua,2001,Turaga,0,16,0.000000
Cinderella's Castle,2012,Duplo,7,46,0.152174
Skull Truck,2011,Ninjago,0,182,0.000000
Heartlake Dog Show,2012,Friends,0,93,0.000000
Mosasaurus,2001,Dinosaurs,4,18,0.222222
The Tumbler,2014,Ultimate Collector Series,5,308,0.016234
Shipwreck Island,1989,Pirates I,0,49,0.000000
Home One Mon Calamari Star Cruiser - Limited Edition,2009,Star Wars Episode 4/5/6,3,267,0.011236
Mud Hopper,2008,Power Racers,1,29,0.034483
Lunar Scout,1986,Classic Space,0,40,0.000000
Extra Plates Blue,1986,Supplemental,0,17,0.000000
Viking Line Ferry,1989,Ferries,0,53,0.000000
Sith Fury-class Interceptor,2012,Star Wars Other,6,176,0.034091
Fire Motorcycle,2013,Fire,1,33,0.030303
Differential Gear Housing,1987,Technic,0,8,0.000000
Pneumatic Hand Pump (Pack of 2),2002,Technic,0,1,0.000000
Poodle's Little Palace,2013,Animals,1,29,0.034483
Spy Runner,1998,Race,0,42,0.000000
Fire ATV,2016,Fire,0,46,0.000000
Mini-Wheel Model Maker No. 1,1971,Vehicle,0,31,0.000000
Nest Dive,2013,Speedorz,6,44,0.136364
"Advent Calendar 2013, City (Day  9)",2013,City,0,3,0.000000
White Plates 2 x n,2002,Bulk Bricks,0,6,0.000000
Large Train Wagon,1966,4.5V,0,6,0.000000
Build and Create,2004,Basic Set,0,96,0.000000
Stealth Swimmer - Team GB Complete Set with Stand and Accessories,2012,Team GB,4,6,0.666667
Windup Motor,1986,Supplemental,0,5,0.000000
Advent Calendar 2002 Creator (Day 24) Present,2002,Creator,0,4,0.000000
Swashbuckler,2014,Series 12 Minifigures,2,7,0.285714
Basic Bricks (red),1999,Service Packs,0,12,0.000000
Mickey & Minnie Birthday Parade,2015,Duplo,5,24,0.208333
King Leo,2000,Knights Kingdom I,0,20,0.000000
Baseball Fielder - Complete Set,2013,Series 10 Minifigures,4,5,0.800000
Jumbo Jet,1970,Airport,0,23,0.000000
Heartlake Horse Show,2014,Friends,1,179,0.005587
Baby Iguanodon (Polybag),2001,Dinosaurs,0,15,0.000000
Action Figures,1988,Supplemental,2,10,0.200000
Surface Rover,1984,Classic Space,0,15,0.000000
Clowns,1965,Basic Set,0,46,0.000000
LEGO Friends Magazine Issue 'Jungle adventures' Polybag,2014,Friends,0,20,0.000000
Small Soccer Set 1 (Polybag),2002,Soccer,0,11,0.000000
Train Station,1996,9V,1,197,0.005076
Advent Calendar 2010 Kingdoms (Day 21) - Lion Knight Scale Mail with Quiver and Crossbow,2010,Castle,0,7,0.000000
Death Star II,2005,Star Wars Episode 4/5/6,0,137,0.000000
Res-Q Lifeguard,1998,Res-Q,1,50,0.020000
MX-81 Hypersonic Operations Aircraft,2008,Mars Mission,0,212,0.000000
50 lettered bricks (The Building Toy),1966,Supplemental,0,26,0.000000
Gear Wheel Assortment,1984,Technic,0,8,0.000000
Plastic Figure - Sir DANJU (Nestle Promotional),2005,Knights Kingdom II,3,3,1.000000
Big Box Play Scape,1998,Freestyle,1,127,0.007874
2 x 2 Skid Plates (Pack of 50),2002,Service Packs,0,1,0.000000
Garden Fun,1996,Playhouse,0,22,0.000000
2 x 2 Plates - Red (cardboard box version),1963,Supplemental,0,1,0.000000
Star Wars Battle of Hoth,2012,Game,13,89,0.146067
C26 Sea Cutter,1996,Boat,0,96,0.000000
Blacksmith Shop,2011,Ninjago,0,96,0.000000
Painting Easter Eggs,2015,Easter,0,85,0.000000
Jumper Bricks,2001,Bulk Bricks,0,4,0.000000
1 x 1 and 1 x 2 Plates - Black (architectural hobby und modelbau version),1962,Architecture,0,4,0.000000
Air Blazers,2003,Designer Sets,0,209,0.000000
Sea Claw 7 / Neptune III,1995,Aquanauts,0,102,0.000000
Coast Guard Station,1976,Coast Guard,0,59,0.000000
McDonald's Sports Set Number 8 - Green Basketball Player #35,2004,Basketball,2,4,0.500000
Aqua Res-Q Transport,2001,Traffic,0,27,0.000000
Striking Venom,2006,Exo-Force,1,106,0.009434
Police Motorcycle,1984,Police,0,7,0.000000
NBA Collectors #4,2003,Basketball,6,13,0.461538
Jungle Boat,2014,Jungle Rescue,0,28,0.000000
Jabba's Sail Barge,2006,Star Wars Episode 4/5/6,5,195,0.025641
Gamma V Laser Craft,1985,Classic Space,0,72,0.000000
Zonic Strike,2003,Drome Racers,6,63,0.095238
Creative Building Cube,2014,Basic Set,0,211,0.000000
Lunar Command,2009,Game,2,56,0.035714
50 Jahre In Deutschland,2006,Basic Set,0,122,0.000000
Minitalia Train,1971,Minitalia,0,12,0.000000
Advent Calendar 1999 (Day 14) Penguin,1999,Advent Sub-Set,0,7,0.000000
Highway Emergency Van,1982,Traffic,1,35,0.028571
Thok,2006,Piraka,2,26,0.076923
Large Wheels and Axles,2002,Bulk Bricks,0,7,0.000000
The Vampire Hearse,2012,Monster Fighters,1,135,0.007407
Robot Promotional (Duracell),2004,Designer Sets,0,17,0.000000
Rosita's Wonderful Stable,2001,Fairy-Tale,4,31,0.129032
Skrubz,2016,Series 8,1,35,0.028571
Formula 1 Racing Car,1998,Race,0,21,0.000000
Makuta Icarax,2008,Warriors,0,52,0.000000
Trendy Tote Sky Blue,2003,Clikits,4,16,0.250000
Magna Guard Starfighter,2008,Star Wars Clone Wars,2,144,0.013889
Hotel / Restaurant,1982,Fabuland,0,29,0.000000
Fire Station,1958,Town Plan,1,17,0.058824
Heartlake High,2013,Friends,4,195,0.020513
Clone Trooper Lieutenant,2013,Star Wars Clone Wars,1,4,0.250000
Aero Pod,2004,X-Pod,0,27,0.000000
Girl with Two Cats,1999,Recreation,0,5,0.000000
Garbage Truck,2009,Creator,0,38,0.000000
Mobile Recovery Vehicle,1986,Classic Space,0,74,0.000000
Finn (FN-2187),2016,Star Wars Episode 7,0,3,0.000000
Summer Riding Camp,2012,Friends,2,304,0.006579
Advent Calendar 2014 City (Day 7) Little Shop,2014,City,0,14,0.000000
Amusement Park Roller Coaster,2016,Friends,3,353,0.008499
Large House Set,1970,Minitalia,0,16,0.000000
Race Buggy,1997,Race,0,15,0.000000
Black Plates 2 x n,2002,Bulk Bricks,0,6,0.000000
Detective - Complete Set,2011,Series 5 Minifigures,4,6,0.666667
The Loader-Dozer,1999,Rock Raiders,0,55,0.000000
Locomotive Traction Tires,1977,Train,0,1,0.000000
Doc Ock's Bank Robbery,2004,Spider-Man,4,106,0.037736
1 x 2 Brown Bricks,2003,Bulk Bricks,0,1,0.000000
Tactical Patrol Truck,1985,Police,0,32,0.000000
Trees and Bushes,1966,Supplemental,0,6,0.000000
Tractor,2009,Construction,0,54,0.000000
Race Car,1989,Race,0,23,0.000000
Kickboxer,2016,Series 16 Minifigures,3,6,0.500000
Airplane,1975,Building Set with People,0,30,0.000000
Star Fleet Voyager,1981,Classic Space,0,91,0.000000
Splitface,2012,Villains,3,36,0.083333
2 x 2 Sand Red Roof Tiles,2001,Bulk Bricks,0,1,0.000000
Protector of Ice,2015,Protectors,1,37,0.027027
Hans Moleman,2015,The Simpsons,3,5,0.600000
LEGO TECHNIC and Pneumatic elements,1992,Technic,5,35,0.142857
"LEGO Store Grand Opening Exclusive Set, Wiesbaden, Germany",2010,LEGO Brand Store,0,36,0.000000
1 x 6 Red Bricks,2000,Bulk Bricks,0,1,0.000000
Ice Rally,2009,Tiny Turbos,0,79,0.000000
Super Glider (Kabaya Promotional),2002,Airport,0,6,0.000000
The Captain’s Cabin,2011,Pirates of the Caribbean,2,53,0.037736
Advent Calendar 1999 (Day  3) Speedboat,1999,Advent Sub-Set,0,7,0.000000
Cannonball Jimmy and Shark,2004,Pirates,0,8,0.000000
Aquagon,2013,Villains,1,25,0.040000
Sparratus' Spider Stalker,2014,Legends of Chima,0,111,0.000000
LEGO® Star Wars™: The Yoda Chronicles,2014,Gear,0,4,0.000000
Advent Calendar 2009 City (Day 19) Child and RC Car,2009,City,0,11,0.000000
Building Set,1974,Basic Set,0,95,0.000000
Passenger Wagon,2001,My Own Train,0,42,0.000000
Advent Calendar 1998 Classic Basic (Day 15) Green Elf,1998,Classic Basic,0,6,0.000000
Scorpion Attack,1999,Competition,3,36,0.083333
"Advent Calendar 2001, Creator (Day  5) Ambulance",2001,Advent Sub-Set,0,8,0.000000
Bangle Minis,2003,Clikits,0,13,0.000000
Lord Business’ Hideout,2014,The LEGO Movie,11,290,0.037931
Witch-King Battle,2014,The Battle of the Five Armies,10,63,0.158730
Airtech Claw Rig,1992,Construction,0,183,0.000000
Jungle Cutter,2008,Kingdom of the Crystal Skull,0,167,0.000000
Connections Kit,2013,Master Building Academy,0,90,0.000000
Battle Arena,2011,Ninjago,5,194,0.025773
Santa on Reindeer,1999,Christmas,0,17,0.000000
Helicopter,1997,Basic Model,0,15,0.000000
World Race Powerboat,2010,World Racers,0,23,0.000000
Gangster - Complete Set,2011,Series 5 Minifigures,3,7,0.428571
Celestial Sled,1993,Ice Planet 2002,0,39,0.000000
Viking Line Ferry,1982,Ferries,2,85,0.023529
Police Motorcycle,2005,Police,0,14,0.000000
Car with Trailer and Racing Car,1972,Factory,0,24,0.000000
MT-61 Crystal Reaper,2008,Mars Mission,0,204,0.000000
"Advent Calendar 2013, Friends (Day 23) - Squirrel",2013,Friends,0,3,0.000000
Cargo Crane,1995,9V,0,139,0.000000
"Crossing, Electric Rails Gray 12v",1980,12V,1,2,0.500000
Maersk Sealand Container Ship 2004 Edition,2004,Sculptures,0,161,0.000000
Res-Q Digger,2002,Traffic,0,28,0.000000
Bracelets,2014,Friends,0,9,0.000000
CyberMaster,1998,Competition,3,291,0.010309
Meltdown,2010,Villains,1,31,0.032258
Storming Cobra,2002,Drome Racers,1,45,0.022222
Mountain Climber - Complete Set,2013,Series 11 Minifigures,3,7,0.428571
"Crane Hook, Cam, Propellor",1994,Technic,0,3,0.000000
Ninja Master's Boat,1999,Ninja,0,16,0.000000
Ice-Sat V,1993,Ice Planet 2002,0,78,0.000000
Advent Calendar 2007 City (Day 24) Christmas Tree,2007,City,0,17,0.000000
Amazon Ancient Ruins,1999,Jungle,3,209,0.014354
Town Hall with Leonard Lion & Friends,1979,Fabuland,0,43,0.000000
Chain Link Pack,1992,Technic,0,2,0.000000
Shunting Trip Posts and Signal,1987,Train,0,3,0.000000
Jedi Starfighter,2002,Star Wars Episode 2,6,86,0.069767
Individual 1 x 4 x 2 Window (without glass),1950,Supplemental,0,5,0.000000
Large House Set,1973,Minitalia,0,18,0.000000
Extreme Off-Roader,2001,Off-Road,1,86,0.011628
Railroad Crossing Gate,1969,4.5V,0,4,0.000000
Extreme Cruiser,2011,Model,0,105,0.000000
Samurai,2015,Series 13 Minifigures,4,7,0.571429
Escape from Mirkwood Spiders,2012,An Unexpected Journey,4,109,0.036697
Storage Tray,1987,Service Packs,0,2,0.000000
Sith Infiltrator - Mini,2004,Mini,2,29,0.068966
Curved Road Plates,1986,Supplemental,0,1,0.000000
Fire Engine,1974,Fire,0,24,0.000000
Trendy Tote Hot Pink,2003,Clikits,10,23,0.434783
Advent Calendar 2004 Creator (Day 18) Racing Car,2004,Creator,0,11,0.000000
Belville Beach Accessories,1998,Belville,0,11,0.000000
Visorak Vohtarak,2005,Visorak,0,29,0.000000
Team Transport Bus Adidas Edition,2002,Soccer,0,61,0.000000
Roof Tiles,2008,Supplemental,0,11,0.000000
Racing Truck,2010,Tiny Turbos,0,25,0.000000
Res-Q Cruiser,1998,Res-Q,0,118,0.000000
Chess King,1998,Castle,1,21,0.047619
B-wing Fighter,2006,Star Wars Episode 4/5/6,3,159,0.018868
Recon Robot,1994,Spyrius,0,58,0.000000
"Advent Calendar 2012, City (Day  1) Fireman with Loudhailer",2012,Advent Sub-Set,0,7,0.000000
Thanksgiving Turkey,2010,Thanksgiving,0,32,0.000000
Police Helicopter,2008,Police,1,66,0.015152
Jet Ray,2010,Ben 10,2,8,0.250000
Royal Knight's Castle,1995,Royal Knights,4,223,0.017937
Construction Site,2005,Construction,1,129,0.007752
LEGO Japan Ostrich Yellow Label Version,2006,Other,0,9,0.000000
TECHNIC Bulldozer Chainlinks,1982,Technic,0,1,0.000000
Police Car,1983,Police,0,24,0.000000
Lego Brickmaster Star Wars (Hardcover),2010,Books,0,86,0.000000
1 x 8 White Bricks,2003,Bulk Bricks,0,1,0.000000
Plates (Blue),1994,Technic,0,15,0.000000
High-Speed Passenger Train,2014,Trains,2,124,0.016129
Prize Pony Stables,1994,Recreation,3,65,0.046154
Sonic Phantom,2006,Exo-Force,0,88,0.000000
Alice,2016,Disney,7,8,0.875000
Stone Bomber,1998,Black Knights,0,17,0.000000
Lloyd Fun Pack,2016,Dimensions,1,29,0.034483
Sabah Promotional Set: Steam Liner,1998,Basic Model,0,6,0.000000
The Fortress,2016,Minecraft,2,180,0.011111
Cyber Saucer,1997,UFO,3,96,0.031250
Spartan Warrior - Complete Set,2010,Series 2 Minifigures,4,8,0.500000
Advent Calendar 2010 City (Day 7) Piano / Organ,2010,City,0,9,0.000000
Straight & Crossroad Plates,2005,Supplemental,2,2,1.000000
X-wing Fighter - Mini (Polybag),2004,Mini,0,18,0.000000
Mezmo,2012,Ninjago,8,25,0.320000
Aqua Dozer,1997,Aquaraiders I,0,59,0.000000
Heroes of Justice: Sky High Battle,2016,Super Heroes,5,207,0.024155
Sterling Airways Biplane,1978,Airport,0,21,0.000000
Null Set-Use SW911506-1,2015,Other,1,1,1.000000
RC Race Buggy,2002,Radio Control,0,72,0.000000
"Vladek (USA version with 6 Cards, Target Promo)",2004,Knights Kingdom II,3,26,0.115385
Castle Expander Pack,2000,Castle,0,6,0.000000
Automatic Direction Changer,1969,4.5V,0,4,0.000000
Texas Rangers,1977,Factory,0,59,0.000000
Bad Cop Car Chase,2015,The LEGO Movie,0,142,0.000000
A-Team Fun Pack,2016,Dimensions,6,41,0.146341
Police HQ,2001,Police,9,78,0.115385
Ferrari FXX 1:17,2008,Ferrari,2,137,0.014599
The Simpsons House,2014,Town,11,501,0.021956
Jake's Pirate Ship Bucky,2013,Duplo,6,47,0.127660
Rescue Runabout,1992,Fire,0,22,0.000000
Cargo Terminal,2013,Airport,1,250,0.004000
Y-wing Fighter,2007,Star Wars Episode 4/5/6,1,128,0.007813
Bard the Bowman,2014,The Hobbit,0,5,0.000000
Toddler Build and Pull Along,2013,Basic Set,4,14,0.285714
Life on Mars Accessories,2001,Space,0,32,0.000000
Astronaut,2016,Series 15 Minifigures,4,9,0.444444
Party Train,2016,Friends,0,78,0.000000
Bonus Lego Basic Town,1996,Universal Building Set,2,224,0.008929
LearnToLearn Core set,2014,Supplemental,0,51,0.000000
Genie - Complete Set,2012,Series 6 Minifigures,2,7,0.285714
NXT Sound Sensor,2006,NXT,0,1,0.000000
Advent Calendar 2009 City (Day 15) Park Bench,2009,City,0,5,0.000000
Wild West Scene,1975,Factory,1,104,0.009615
Emperor Palpatine’s Shuttle,2010,Star Wars Episode 3,4,158,0.025316
Coca-Cola Forward 1,2002,Soccer,0,4,0.000000
Advent Calendar 1999 (Day 21) Police Car,1999,Advent Sub-Set,0,9,0.000000
Tractor / Dune Buggy,2006,Farm,0,137,0.000000
Rescue Motorbike / Rescue Trike,1999,Riding Cycle,2,58,0.034483
Thatcher Perkins Locomotive,1976,Hobby Sets,0,75,0.000000
LOM Moulding 2011,2011,Other,2,47,0.042553
Mini Jet,2009,Airport,0,35,0.000000
Advent Calendar 2007 Belville (Day  5) Cat,2007,Belville,0,5,0.000000
Train Motor (RC),2009,RC Train,1,3,0.333333
Mini Cooper,2014,Creator,0,250,0.000000
Slave I (Third Edition) [Initial Release],2010,Star Wars Episode 4/5/6,1,172,0.005814
"Box of Standard Bricks, 5+",1995,Supplemental,0,49,0.000000
Hot Dog Man,2015,Series 13 Minifigures,2,5,0.400000
Clubhouse Café,2014,Duplo,0,13,0.000000
Assorted Arches,1989,Service Packs,0,3,0.000000
Stunt Pack,2004,Supplemental,0,13,0.000000
"Wheel Sets, Black",1987,Train,0,1,0.000000
Mandalorian Battle Pack,2011,Star Wars Clone Wars,0,49,0.000000
Advent Calendar 2005 City (Day 10) Wheelbarrow,2005,City,0,10,0.000000
Click-N-Store Jewelry Set Co-Pack (7514 with jewelry box),2004,Clikits,0,1,0.000000
Winter Fun,2015,Christmas,0,70,0.000000
International Flags,1958,Supplemental,0,10,0.000000
First Order Stormtrooper,2016,Star Wars Episode 7,2,54,0.037037
Battle Cove,1992,Pirates I,0,21,0.000000
EV3 Intelligent Brick,2013,EV3,0,1,0.000000
Advent Calendar 2014 Star Wars (Day 15) - Snowspeeder,2014,Star Wars,0,15,0.000000
1 x 3 x 2 Window in Frame,1961,Supplemental,0,2,0.000000
Advent Calendar 2014 City (Day 23) Tricycle,2014,City,0,10,0.000000
